id;username;password;balance;total bet amount;nr_win;nr_loss;nr_bets;btc_amount;eth_amount;doge_amount;litecoin_amount;trx_amount;logged_in
32;erniestenseth;qf784u;655.0;5440.0;46.0;34.0;80.0;30.0;21.0;2.0;15.0;12.0;0
33;albinaglick;dt539x;54145.0;72431.0;233.0;62.0;295.0;93.0;60.0;46.0;6.0;90.0;0
34;alishiasergi;lu560m;23521.0;13862.0;281.0;27.0;308.0;87.0;63.0;90.0;38.0;30.0;0
35;solangeshinko;ff723x;19107.0;42802.0;184.0;35.0;219.0;36.0;30.0;39.0;85.0;29.0;0
36;josestockham;ro897h;79757.0;332.0;38.0;120.0;158.0;31.0;11.0;50.0;5.0;61.0;0
37;rozellaostrosky;ca504e;82369.0;4364.0;200.0;21.0;221.0;77.0;10.0;53.0;25.0;56.0;0
38;valentinegillian;qw903r;64038.0;72222.0;32.0;97.0;129.0;3.0;1.0;48.0;14.0;63.0;0
39;katirulapaugh;sa245p;4435.0;60076.0;20.0;198.0;218.0;21.0;79.0;17.0;40.0;61.0;0
40;youlandaschemmer;va871x;71887.0;13587.0;134.0;96.0;230.0;69.0;16.0;39.0;90.0;16.0;0
41;dyanoldroyd;pb978t;42028.0;27744.0;221.0;37.0;258.0;6.0;53.0;50.0;66.0;83.0;0
42;roxanecampain;gh220n;9265.0;27019.0;208.0;69.0;277.0;10.0;96.0;95.0;28.0;48.0;0
43;laveraperin;eq806e;61559.0;15693.0;116.0;13.0;129.0;90.0;16.0;3.0;9.0;11.0;0
44;erickferencz;tc904q;38426.0;33584.0;107.0;192.0;299.0;32.0;13.0;100.0;66.0;88.0;0
45;fatimasaylors;hv281u;98981.0;41113.0;90.0;79.0;169.0;1.0;48.0;60.0;51.0;9.0;0
46;jinabriddick;ga420b;2182.0;56790.0;35.0;154.0;189.0;46.0;29.0;47.0;58.0;9.0;0
47;kanishawaycott;ld437e;59842.0;58120.0;252.0;75.0;327.0;81.0;36.0;74.0;75.0;61.0;0
48;emersonbowley;rc208e;46368.0;60981.0;2.0;222.0;224.0;9.0;68.0;83.0;2.0;62.0;0
49;dobby;rgjnewiof;2266579.0;435987124.0;390.0;0.0;390.0;100.0;200.0;0.0;90.0;0.0;0
50;cookie;sfhoiwhf;12984776.0;477987294.0;414.0;0.0;414.0;30.0;70.0;200.0;14.0;100.0;0
51;Dario97;1234;105.0;5.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;;1
